Title,Authors,Publish_Date,Abstract,Article_Link,correspondence_author,keywords,correspondance_author_email
Deciphering chloramphenicol biotransformation mechanisms and microbial interactions via integrated multi-omics and cultivation-dependent approaches,"Jiayu Zhang, Xiaoyan Li, Uli Klümper, Huaxin Lei, Thomas U. Berendonk, Fangliang Guo, Ke Yu, Chao Yang and Bing Li",10/24/2022,"Each year, approximately 9.5 million metric tons of plastic waste enter the ocean with the potential to adversely impact all trophic levels. Until now, our understanding of the impact of plastic pollution on m...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01361-5,Bing Li,"Chloramphenicol biotransformation, Multi-omics, Genomics, Metagenomics, Metatranscriptomics, Proteomics, Interspecies interaction",bingli@sz.tsinghua.edu.cn
Plastic leachates impair picophytoplankton and dramatically reshape the marine microbiome,"Amaranta Focardi, Lisa R. Moore, Jean-Baptiste Raina, Justin R. Seymour, Ian T. Paulsen and Sasha G. Tetu",10/24/2022,"Many animals live in intimate associations with a species-rich microbiome. A key factor in maintaining these beneficial associations is fidelity, defined as the stability of associations between hosts and thei...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01369-x,"Amaranta Focardi,Sasha G. Tetu","Plastic leachate, Microbial communities, Synechococcus, Picoeukaryotes, SAR11, Biogeochemical cycles","amaranta.focardi@uts.edu.au, sasha.tetu@mq.edu.au"
Fidelity varies in the symbiosis between a gutless marine worm and its microbial consortium,"Yui Sato, Juliane Wippler, Cecilia Wentrup, Rebecca Ansorge, Miriam Sadowski, Harald Gruber-Vodicka, Nicole Dubilier and Manuel Kleiner",10/22/2022,"Process and function that underlie the assembly of a rhizosphere microbial community may be strongly linked to the maintenance of plant health. However, their assembly processes and functional changes in the d...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01372-2,"Yui Sato,Nicole Dubilier,Manuel Kleiner","Microbiome, Animal-bacterial symbiosis, Symbiont transmission, Phylosymbiosis, Intraspecific genetic variation","ysato@mpi-bremen.de, ndubilier@mpi-bremen.de, manuel_kleiner@ncsu.edu"
Specific metabolites drive the deterministic assembly of diseased rhizosphere microbiome through weakening microbial degradation of autotoxin,"Tao Wen, Penghao Xie, C. Ryan Penton, Lauren Hale, Linda S. Thomashow, Shengdie Yang, Zhexu Ding, Yaqi Su, Jun Yuan and Qirong Shen",10/21/2022,"Amplicon sequencing is an established and cost-efficient method for profiling microbiomes. However, many available tools to process this data require both bioinformatics skills and high computational power to ...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01375-z,Jun Yuan,"Microbial community assembly, Phylogenetic pattern, Rhizosphere metabolomics, Fusarium wilt disease, Integration analysis metadata",junyuan@njau.edu.cn
LotuS2: an ultrafast and highly accurate tool for amplicon sequencing analysis,"Ezgi Özkurt, Joachim Fritscher, Nicola Soranzo, Duncan Y. K. Ng, Robert P. Davey, Mohammad Bahram and Falk Hildebrand",10/19/2022,The role of the pulmonary microbiome in sarcoidosis is unknown. The objectives of this study were the following: (1) examine whether the pulmonary fungal and bacterial microbiota differed in patients with sarc...,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01365-1,Falk Hildebrand,"Microbiome, Short read, Long read, Amplicon sequencing, Amplicon data analysis, 16S rRNA, ITS",falk.hildebrand@quadram.ac.uk
Tick transmission of Borrelia burgdorferi to the murine host is not influenced by environmentally acquired midgut microbiota,"Sukanya Narasimhan, Nallakkandi Rajeevan, Morven Graham, Ming-Jie Wu, Kathleen DePonte, Solenne Marion, Orlanne Masson, Anya J. O’Neal, Joao H. F. Pedra, Daniel E. Sonenshine and Erol Fikrig",10/17/2022,"Candidatus Nanohaloarchaeota, an archaeal phylum within the DPANN superphylum, is characterized by limited metabolic capabilities and limited phylogenetic diversity and until recently has been considered to exclu...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01378-w,Sukanya Narasimhan,"Ixodes scapularis, Tick microbiome, Tick innate immunity, Transmission, Borrelia burgdorferi",sukanya.narasimhan@yale.edu
Functional differentiation determines the molecular basis of the symbiotic lifestyle of Ca. Nanohaloarchaeota,"Yuan-Guo Xie, Zhen-Hao Luo, Bao-Zhu Fang, Jian-Yu Jiao, Qi-Jun Xie, Xing-Ru Cao, Yan-Ni Qu, Yan-Lin Qi, Yang-Zhi Rao, Yu-Xian Li, Yong-Hong Liu, Andrew Li, Cale Seymour, Marike Palmer, Brian P. Hedlund, Wen-Jun Li…",10/14/2022,"Faecal samples are frequently used to characterise the gut microbiota in health and disease, yet there is considerable debate about how representative faecal bacterial profiles are of the overall gut community...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01376-y,"Wen-Jun Li,Zheng-Shuang Hua","Cadidatus Nanohaloarchaeota, Metabolism, Environmental adaptations, Functional differentiation","liwenjun3@mail.sysu.edu.cn, hzhengsh@ustc.edu.cn"
Comparison of microbial signatures between paired faecal and rectal biopsy samples from healthy volunteers using next-generation sequencing and culturomics,"Indrani Mukhopadhya, Jennifer C. Martin, Sophie Shaw, Aileen J. McKinley, Silvia W. Gratz and Karen P. Scott",10/14/2022,Geothermal systems have contributed greatly to both our understanding of the functions of extreme life and the evolutionary history of life itself. Shallow-sea hydrothermal systems are ecological intermediates...,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01354-4,"Indrani Mukhopadhya,Karen P. Scott","Faecal microbiota, Mucosa-associated microbiota, Microbiome analysis, Next-generation sequencing, Anaerobic bacteria, Culture, SCFA","indrani.mukhopadhya@abdn.ac.uk, k.scott@abdn.ac.uk"
Genome-centric insight into metabolically active microbial population in shallow-sea hydrothermal vents,"Xiaofeng Chen, Kai Tang, Mu Zhang, Shujing Liu, Mingming Chen, Peiwen Zhan, Wei Fan, Chen-Tung Arthur Chen and Yao Zhang",10/14/2022,"Chinese Lunar Palace 1 (LP1) is a ground-based bio-regenerative life support system (BLSS) test bed integrating highly efficient plant cultivation, animal protein production, urine nitrogen recycling, and bioc...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01351-7,Kai Tang,"Geothermal systems, Metagenome-assembled genomes, Metaproteome, Endemicity, Metabolic functions",tangkai@xmu.edu.cn
Surface fungal diversity and several mycotoxin-related genes’ expression profiles during the Lunar Palace 365 experiment,"Jianlou Yang, Zikai Hao, Lantao Zhang, Yuming Fu and Hong Liu",10/12/2022,"Both the gut microbiota and chronic viral infections have profound effects on host immunity, but interactions between these influences have been only superficially explored. Cytomegalovirus (CMV), for example,...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01350-8,"Yuming Fu,Hong Liu","Lunar Palace 1, Lunar Palace 365 experiment, Fungal community, Mycotoxin genes","fuyuming@buaa.edu.cn, lh64@buaa.edu.cn"
Cytomegalovirus infection disrupts the influence of short-chain fatty acid producers on Treg/Th17 balance,"Ning Chin, Nicole R. Narayan, Gema Méndez-Lagares, Amir Ardeshir, W. L. William Chang, Jesse D. Deere, Justin H. Fontaine, Connie Chen, Hung T. Kieu, Wenze Lu, Peter A. Barry, Ellen E. Sparger and Dennis J. Hartigan-O’Connor",10/10/2022,The rumen is an ecosystem with a complex microbial microflora in which microbes initiate biofilm formation by attaching to plant surfaces for plant degradation and are capable of converting feed to nutrients a...,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01355-3,Dennis J. Hartigan-O’Connor,"Host-microbe interactions, Microbiome, Cytomegalovirus infection, Immunophenotype, Elastic net, Rhesus macaque, 16S analysis",dhartigan@ucdavis.edu
Exploring AI-2-mediated interspecies communications within rumen microbial communities,"Xiaozhen Liu, Qinmeng Liu, Sihuai Sun, Hengxi Sun, Yao Wang, Xihui Shen and Lei Zhang",10/7/2022,Healthier ruminant products can be achieved by adequate manipulation of the rumen microbiota to increase the flux of beneficial fatty acids reaching host tissues. Genomic selection to modify the microbiome fun...,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01367-z,"Xihui Shen,Lei Zhang","Rumen, Microbes, Quorum sensing, AI-2, The CahR-type AI-2 receptors","xihuishen@nwsuaf.edu.cn, zhanglei0075@nwsuaf.edu.cn"
Microbiome-driven breeding strategy potentially improves beef fatty acid profile benefiting human health and reduces methane emissions,"Marina Martínez-Álvaro, Jennifer Mattock, Marc Auffret, Ziqing Weng, Carol-Anne Duthie, Richard J. Dewhurst, Matthew A. Cleveland, Mick Watson and Rainer Roehe",10/5/2022,"SARS-CoV-2 infection causes COVID-19 disease, which can result in consequences ranging from undetectable to fatal, focusing attention on the modulators of outcomes. The respiratory tract microbiome is thought ...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01352-6,"Marina Martínez-Álvaro,Rainer Roehe","Rumen microbiome, Beef, Conjugated linoleic acid, Very long-chain n-3 fatty acids, Microbial genes, Microbiome-driven breeding, Genomic selection, Methane emissions","marina.alvaro@sruc.ac.uk, rainer.roehe@sruc.ac.uk"
Novel trends of genome evolution in highly complex tropical sponge microbiomes,"Joseph B. Kelly, David E. Carlson, Jun Siong Low and Robert W. Thacker",10/4/2022,"Mammalian intestinal microbiomes are necessary for antagonizing systemic viral infections. However, very few studies have identified whether poultry commensal bacteria play a crucial role in protecting against...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01359-z,Joseph B. Kelly,"Sterols, Metagenomics, Microbiome, Sponge, Ircinia, Marine, Tropical",joseph.kelly@uni-konstanz.de
Chicken intestinal microbiota modulation of resistance to nephropathogenic infectious bronchitis virus infection through IFN-I,"Hai-chang Yin, Zhen-dong Liu, Wei-wei Zhang, Qing-zhu Yang, Tian-fei Yu and Xin-jie Jiang",10/3/2022,"Although the lack of estrogen receptor β (ERβ) is a risk factor for the development of inflammatory bowel disease (IBD) and psychiatric disorders, the underlying cellular and molecular mechanisms are not fully...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01348-2,"Tian-fei Yu,Xin-jie Jiang","SPF chicken, Intestinal microbiota, Nephropathogenic infectious bronchitis virus, IFN, Lactobacillus","yutianfei2001@163.com, Jiangxinjie777@163.com"
Microscopic marine invertebrates are reservoirs for cryptic and diverse protists and fungi,"Corey C. Holt, Vittorio Boscaro, Niels W. L. Van Steenkiste, Maria Herranz, Varsha Mathur, Nicholas A. T. Irwin, Gracy Buckholtz, Brian S. Leander and Patrick J. Keeling",9/30/2022,"Tooth decay is one of the most prevalent diseases worldwide, and efficient tooth brushing with a fluoride-containing dentifrice is considered fundamental to caries prevention. Fluoride-containing dentifrices h...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01363-3,"Corey C. Holt,Patrick J. Keeling","Aquatic, Invertebrate, Microbiota, 18S, ASV, Symbiont, Host-associated","corey.holt@ubc.ca, pkeeling@mail.ubc.ca"
Estrogen receptor β deficiency impairs gut microbiota: a possible mechanism of IBD-induced anxiety-like behavior,"Yuanyuan Ma, Tianyao Liu, Xin Li, Anqi Kong, Rui Xiao, Ruxin Xie, Junwei Gao, Zhongke Wang, Yun Cai, Jiao Zou, Ling Yang, Lian Wang, Jinghui Zhao, Haiwei Xu, Warner Margaret, Xingshun Xu…",9/29/2022,"The intestinal microbiota fundamentally guides the development of a normal intestinal physiology, the education, and functioning of the mucosal immune system. The Citrobacter rodentium-carrier model in germ-free ...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01356-2,"Xingshun Xu,Jan-Ake Gustafsson,Xiaotang Fan","Anxiety, ErbB4, Estrogen receptor β, Gut microbiota, Hypothalamic-pituitary-adrenal axis, Inflammatory bowel disease, Stress","xingshunxu@suda.edu.cn, jgustafsson@uh.edu, fanxiaotang2005@163.com"
Functional changes in the oral microbiome after use of fluoride and arginine containing dentifrices: a metagenomic and metatranscriptomic study,"Miguel Carda-Diéguez, Rebecca Moazzez and Alex Mira",9/28/2022,"DNA methylation in prokaryotes is involved in many different cellular processes including cell cycle regulation and defense against viruses. To date, most prokaryotic methylation systems have been studied in c...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01338-4,Alex Mira,"Oral microbiota, Caries, Arginine, Fluoride, Arginolytic route, Metatranscriptome, Metagenome, 16S rRNA",mira_ale@gva.es
Selected commensals educate the intestinal vascular and immune system for immunocompetence,"Rossana Romero, Agnieszka Zarzycka, Mathieu Preussner, Florence Fischer, Torsten Hain, Jan-Paul Herrmann, Katrin Roth, Corinna U. Keber, Kushal Suryamohan, Hartmann Raifer, Maik Luu, Hanna Leister, Wilhelm Bertrams, Matthias Klein, Hosam Shams-Eldin, Ralf Jacob…",9/28/2022,"Many insects house symbiotic intracellular bacteria (endosymbionts) that provide them with essential nutrients, thus promoting the usage of nutrient-poor habitats. Endosymbiont seclusion within host specialize...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01353-5,Ulrich Steinhoff,"Microbial consortia, Commensal imprinting, Asymptomatic infection, Endothelial cells, Blood vessel development, Intestinal maturation, Genome-guided microbiota, Neutrophils, C. rodentium, Oligo-Mouse-Microbiota, Colonization resistance, Enteric pathogen",ulrich.steinhoff@staff.uni-marburg.de
Marine DNA methylation patterns are associated with microbial community composition and inform virus-host dynamics,"Hoon Je Seong, Simon Roux, Chung Yeon Hwang and Woo Jun Sul",9/28/2022,"The large intestine is a colonization site of beneficial microbes complementing the nutrition of cattle but also of zoonotic and animal pathogens. Here, we present the first global gene catalog of cattle fecal...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01340-w,Woo Jun Sul,"Ocean microbiome, DNA methylation, Metagenome-assembled genome, Host–phage, Long-read sequencing",sulwj@cau.ac.kr
Efficient compartmentalization in insect bacteriomes protects symbiotic bacteria from host immune system,"Mariana Galvão Ferrarini, Elisa Dell’Aglio, Agnès Vallier, Séverine Balmand, Carole Vincent-Monégat, Sandrine Hughes, Benjamin Gillet, Nicolas Parisot, Anna Zaidman-Rémy, Cristina Vieira, Abdelaziz Heddi and Rita Rebollo",9/27/2022,"Complex interactions between the gut microbiome and immune cells in infancy are thought to be part of the pathogenesis for the marked rise in pediatric allergic diseases, particularly food allergies. Food prot...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01334-8,"Cristina Vieira,Abdelaziz Heddi,Rita Rebollo","Symbiosis, Immunity, Bacteria, Antimicrobial peptides, Coleoptera, TCT","cristina.vieira@univ-lyon1.fr, abdelaziz.heddi@insa-lyon.fr, rita.rebollo@inrae.fr"
Strain-level resolution and pneumococcal carriage dynamics by single-molecule real-time (SMRT) sequencing of the plyNCR marker: a longitudinal study in Swiss infants,"Oluwaseun Rume-Abiola Oyewole, Philipp Latzin, Silvio D. Brugger and Markus Hilty",9/22/2022,Controlling excess biomass accumulation and clogging is important for maintaining the performance of gas biofilters and reducing energy consumption. Interruption of bacterial communication (quorum quenching) c...,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01344-6,Markus Hilty,"Respiratory microbiome, PacBio single-molecule real-time (SMRT) sequencing, DADA2, Co-colonization, Streptococcus pneumoniae, Carriage duration, First year of life",markus.hilty@ifik.unibe.ch
"Metagenomics-resolved genomics provides novel insights into chitin turnover, metabolic specialization, and niche partitioning in the octocoral microbiome","Tina Keller-Costa, Lydia Kozma, Sandra G. Silva, Rodolfo Toscan, Jorge Gonçalves, Asunción Lago-Lestón, Nikos C. Kyrpides, Ulisses Nunes da Rocha and Rodrigo Costa",9/22/2022,"The pathogenesis of inflammatory bowel diseases (IBD) is multifactorial, and diagnostic and treatment strategies for IBD remain to be developed. RhoB regulates multiple cell functions; however, its role in col...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01343-7,"Tina Keller-Costa,Rodrigo Costa","Symbiosis, MAGs, Gorgonians, Facultative anaerobes, Chitinases, Secondary metabolism, Endozoicomonadaceae, Thioglobaceae, Mollicutes","tinakellercosta@tecnico.ulisboa.pt, rodrigoscosta@tecnico.ulisboa.pt"
Microbial community regulation and performance enhancement in gas biofilters by interrupting bacterial communication,"Yong-Chao Wang, Yu-Ting Lin, Can Wang, Zhen Tong, Xu-Rui Hu, Ya-Hui Lv, Guan-Yu Jiang, Meng-Fei Han, Ji-Guang Deng, Hsing-Cheng Hsi and Chung-Hak Lee",9/19/2022,"In nature, microbial communities undergo changes in composition that threaten their resiliency. Here, we interrogated sourdough, a natural cereal-fermenting metacommunity, as a dynamic ecosystem in which playe...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01345-5,Can Wang,"Bacterial communication, Microbial community regulation, Quorum quenching, Function genes, Biofilter",wangcan@tju.edu.cn
RhoB affects colitis through modulating cell signaling and intestinal microbiome,"Jianming Yang, Geng Pei, Xuan Sun, Yawen Xiao, Chunhui Miao, Lu Zhou, Bangmao Wang, Liu Yang, Mingyu Yu, Zhi-Song Zhang, Evan T. Keller, Zhi Yao and Quan Wang",9/16/2022,"The human gut is home to a largely underexplored microbiome component, the archaeome. Little is known of the impact of geography, urbanization, ethnicity, and diet on the gut archaeome in association with host...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01347-3,Quan Wang,"RhoB, Inflammatory bowel diseases, Microbiome, SCFAs",wangquan@tmu.edu.cn
"Landscape of the gut archaeome in association with geography, ethnicity, urbanization, and diet in the Chinese population","Xiaowu Bai, Yang Sun, Yue Li, Maojuan Li, Zhirui Cao, Ziyu Huang, Feng Zhang, Ping Yan, Lan Wang, Juan Luo, Jing Wu, Dejun Fan, Hongxia Chen, Min Zhi, Ping Lan, Zhong Zeng…",9/13/2022,"The human mouth is a natural laboratory for studying how bacterial communities differ across habitats. Different bacteria colonize different surfaces in the mouth—teeth, tongue dorsum, and keratinized and non-...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01335-7,"Zhong Zeng,Xiaojian Wu,Yinglei Miao,Tao Zuo","Archaea, Gut, Geography, Ethnicity, Urbanization, Diet","zzong9933@163.com, wuxjian@mail.sysu.edu.cn, myldu@sina.com, zuot@mail.sysu.edu.cn"
"The effect of 3-nitrooxypropanol, a potent methane inhibitor, on ruminal microbial gene expression profiles in dairy cows","Dipti W. Pitta, Nagaraju Indugu, Audino Melgar, Alexander Hristov, Krishna Challa, Bonnie Vecchiarelli, Meagan Hennessy, Kapil Narayan, Stephane Duval, Maik Kindermann and Nicola Walker",9/13/2022,Fungi are important degraders of organic matter responsible for reintegration of nutrients into global food chains in freshwater and soil environments. Recent evidence suggests that they are ubiquitously prese...,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01341-9,Dipti W. Pitta,"Enteric methane, Hydrogenases, Methane mitigation, Ruminal methanogenesis, Total and metabolically active microbes",dpitta@vet.upenn.edu
Corncob structures in dental plaque reveal microhabitat taxon specificity,"Viviana Morillo-Lopez, Alexandra Sjaarda, Imon Islam, Gary G. Borisy and Jessica L. Mark Welch",9/5/2022,"Monitoring microbial communities especially focused on pathogens in newly developed wastewater treatment systems is recommended for public health. Thus, we investigated the microbial community shift in a pilot...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01323-x,Jessica L. Mark Welch,"Oral microbiome, Biogeography, Fluorescence in situ hybridization, FISH, Microscopy, Imaging, Corncob, Hedgehog, Microbial ecology",jmarkwelch@forsyth.org
Global contribution of pelagic fungi to protein degradation in the ocean,"Eva Breyer, Zihao Zhao, Gerhard J. Herndl and Federico Baltar",9/1/2022,Symbiotic gut microbes have a rich genomic and metabolic pool and are closely related to hosts’ health. Traditional sequencing profiling masks the genomic and phenotypic diversity among strains from the same s...,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01329-5,Federico Baltar,"Pelagic fungi, Proteases, Metagenomics, Metatranscriptomics, Global ocean, Nitrogen cycle",federico.baltar@univie.ac.at
Extra benefit of microalgae in raw piggery wastewater treatment: pathogen reduction,"Sang-Ah Lee, Minsik Kim, Hee-Sik Kim and Chi-Yong Ahn",8/31/2022,"Post-weaning diarrhea in piglets reduces growth performance and increases mortality, thereby causing serious economic losses. The intestinal epithelial cells and microbiota reciprocally regulate each other in ...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01339-3,Chi-Yong Ahn,"Piggery wastewater, Microalgae, Metagenome analysis, Pathogens, Network analysis",cyahn@kribb.re.kr
Lactic acid from vaginal microbiota enhances cervicovaginal epithelial barrier integrity by promoting tight junction protein expression,"David Jose Delgado-Diaz, Brianna Jesaveluk, Joshua A. Hayward, David Tyssen, Arghavan Alisoltani, Matthys Potgieter, Liam Bell, Elizabeth Ross, Arash Iranzadeh, Imane Allali, Smritee Dabee, Shaun Barnabas, Hoyam Gamieldien, Jonathan M. Blackburn, Nicola Mulder, Steven B. Smith…",8/31/2022,"Plant floral nectars contain natural sugars such as fructose, which are a primary energy resource for adult mosquitoes. Despite the importance of carbohydrates for mosquito metabolism, a limited knowledge is a...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01337-5,Gilda Tachedjian,"Female reproductive tract, Lactic acid, Vaginal microbiome, Tight junctions, Transcriptomics, Epithelial cells, Metabolites, Lactobacilli, STIs, HIV",gilda.tachedjian@burnet.edu.au
Strain-level profiling with picodroplet microfluidic cultivation reveals host-specific adaption of honeybee gut symbionts,"Yujie Meng, Shuang Li, Chong Zhang and Hao Zheng",8/31/2022,Phages are key drivers of genomic diversity in bacterial populations as they impose strong selective pressure on the evolution of bacterial defense mechanisms across closely related strains. The pan-immunity m...,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01333-9,"Chong Zhang,Hao Zheng","Apis mellifera, Apis cerana, Microfluidic droplet, High-throughput cultivation, Gut microbiota, Strain diversity, Host specificity","chongzhang@tsinghua.edu.cn, hao.zheng@cau.edu.cn"
Mucin O-glycan-microbiota axis orchestrates gut homeostasis in a diarrheal pig model,"Bing Xia, Ruqing Zhong, Weida Wu, Chengzeng Luo, Qingshi Meng, Qingtao Gao, Yong Zhao, Liang Chen, Sheng Zhang, Xin Zhao and Hongfu Zhang",8/31/2022,"Probiotic use in preterm infants can mitigate the impact of antibiotic exposure and reduce rates of certain illnesses; however, the benefit on the gut resistome, the collection of antibiotic resistance genes, ...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01326-8,"Xin Zhao,Hongfu Zhang","Gut microbiota, Mucus layer, Mucin O-glycans, Glycan-microbiota interaction, Pig model","xin.zhao@mcgill.ca, zhanghongfu@caas.cn"
Mosquito sex and mycobiota contribute to fructose metabolism in the Asian tiger mosquito Aedes albopictus,"Morgane Guégan, Edwige Martin, Van Tran Van, Benjamin Fel, Anne-Emmanuelle Hay, Laurent Simon, Noémie Butin, Floriant Bellvert, Feth el Zahar Haichar and Claire Valiente Moro",8/30/2022,Succinate is produced by both human cells and by gut bacteria and couples metabolism to inflammation as an extracellular signaling transducer. Circulating succinate is elevated in patients with obesity and typ...,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01325-9,Claire Valiente Moro,"Mosquito, Microbiota, Fructose, Sugar assimilation, Fungi, 13C metabolomic, Stable isotope probing",claire.valiente-moro@univ-lyon1.fr
Extensive diversity and rapid turnover of phage defense repertoires in cheese-associated bacterial communities,"Vincent Somerville, Thibault Schowing, Hélène Chabas, Remo S. Schmidt, Ueli von Ah, Rémy Bruggmann and Philipp Engel",8/27/2022,"Antimicrobial resistance (AMR) has a detrimental impact on human health on Earth and it is equally concerning in other environments such as space habitat due to microgravity, radiation and confinement, especia...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01328-6,"Vincent Somerville,Philipp Engel","Bacteriophage-host interaction, Microbial ecology, Evolutionary dynamics, Shotgun metagenomics","vincent.somerville@unil.ch, philipp.engel@unil.ch"
Capturing the antibiotic resistome of preterm infants reveals new benefits of probiotic supplementation,"Allison K. Guitor, Efrah I. Yousuf, Amogelang R. Raphenya, Eileen K. Hutton, Katherine M. Morrison, Andrew G. McArthur, Gerard D. Wright and Jennifer C. Stearns",8/26/2022,"Crohn’s disease (CD), an inflammatory bowel disease (IBD) subtype, results from pathologic interactions between host cells and its resident gut microbes. CD manifests in both isolated disease locations (ileum ...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01327-7,Jennifer C. Stearns,"Probiotics, Preterm infants, Gut microbiota, Antibiotics, Resistome, Targeted capture",stearns@mcmaster.ca
Gut-derived metabolites influence neurodevelopmental gene expression and Wnt signaling events in a germ-free zebrafish model,"Victoria Rea, Ian Bell, Taylor Ball and Terence Van Raay",8/23/2022,"Small molecule metabolites produced by the microbiome are known to be neuroactive and are capable of directly impacting the brain and central nervous system, yet there is little data on the contribution of the...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01302-2,Terence Van Raay,"Germ-free, Wnt, Neurodevelopment, Metabolites, Microbiome, Zebrafish",tvanraay@uoguelph.ca
"Biogeographical survey of soil microbiomes across sub-Saharan Africa: structure, drivers, and predicted climate-driven changes","DA Cowan, PH Lebre, CER Amon, RW Becker, HI Boga, A Boulangé, TL Chiyaka, T Coetzee, PC de Jager, O Dikinya, F Eckardt, M Greve, MA Harris, DW Hopkins, HB Houngnandan, P Houngnandan…",8/23/2022,"Top-soil microbiomes make a vital contribution to the Earth’s ecology and harbor an extraordinarily high biodiversity. They are also key players in many ecosystem services, particularly in arid regions of the ...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01297-w,"DA Cowan,PH Lebre","Sub-Saharan Africa, Soil microbiome, Microbial biodiversity, Climate change, Ecosystem predictions","don.cowan@up.ac.za, pedro.bixiraonetomarinholebre@up.ac.za"
A comprehensive evaluation of microbial differential abundance analysis methods: current status and potential solutions,Lu Yang and Jun Chen,8/19/2022,Differential abundance analysis (DAA) is one central statistical task in microbiome data analysis. A robust and powerful DAA tool can help identify highly confident microbial candidates for further biological ...,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01320-0,Jun Chen,"Microbiome, Metagenomics, Statistical methods, Differential abundance analysis, False discovery rate, Compositional effects, Zero inflation, Benchmarking",chen.jun2@mayo.edu
Colistin-degrading proteases confer collective resistance to microbial communities during polymicrobial infections,"Do-Hoon Lee, Ju-Hee Cha, Dae-Wi Kim, Kihyun Lee, Yong-Seok Kim, Hyo-Young Oh, You-Hee Cho and Chang-Jun Cha",8/19/2022,"The increasing prevalence of resistance against the last-resort antibiotic colistin is a significant threat to global public health. Here, we discovered a novel colistin resistance mechanism via enzymatic inac...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01315-x,Chang-Jun Cha,"Colistin, Antimicrobial resistance, Colistin-degrading protease, Collective resistance, Polymicrobial infection, Stenotrophomonas maltophilia",cjcha@cau.ac.kr
Comparative genomic analysis of five freshwater cyanophages and reference-guided metagenomic data mining,"Kang Du, Feng Yang, Jun-Tao Zhang, Rong-Cheng Yu, Ziqing Deng, Wei-Fang Li, Yuxing Chen, Qiong Li and Cong-Zhao Zhou",8/17/2022,"As important producers using photosynthesis on Earth, cyanobacteria contribute to the oxygenation of atmosphere and the primary production of biosphere. However, due to the eutrophication of urban waterbodies ...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01324-w,"Qiong Li,Cong-Zhao Zhou","Cyanobacterium, Freshwater cyanophage, Whole-genome sequencing, Reference genome, Metagenomics","liqiong@ustc.edu.cn, zcz@ustc.edu.cn"
